Date,Open,High,Low,Close,Volume
2017-09-15,3211.27,3221.02,3193.41,3209.56,294294592
2017-09-18,3230.38,3246.49,3225.48,3241.85,185241136
2017-09-19,3249.28,3251.47,3220.56,3225.95,189182592
2017-09-20,3220.77,3227.42,3213.66,3218.07,140870304
2017-09-21,3207.61,3218.8,3203.92,3213.82,205169536
2017-09-22,3206.51,3222.05,3201.1,3220.25,186203104
2017-09-25,3231.86,3234.2,3213.68,3215.91,156276976
2017-09-26,3212.93,3217.31,3202.77,3212.04,168494960
2017-09-27,3207.3,3242.37,3205.67,3236.15,163065616
2017-09-28,3242.95,3250.06,3220.07,3227.14,198692400
2017-09-29,3222.72,3225.26,3200.73,3219.91,244464896
2017-10-02,3233.95,3264.89,3231.23,3262.1,164013184
2017-10-03,3269.49,3270.08,3232.06,3246.08,181083696
2017-10-04,3245.35,3247.02,3230.81,3236.65,215281744
2017-10-05,3235.29,3264.62,3233.85,3261.84,188150368
2017-10-06,3267.8,3291.29,3264.48,3291.29,228553296
2017-10-09,3296.49,3300.88,3279.32,3291.56,205203008
2017-10-10,3292.37,3296.09,3278.43,3288.95,170731120
2017-10-11,3294.63,3301.07,3272.36,3280.28,214847296
2017-10-12,3292.9,3306.36,3287.23,3303.09,215364400
2017-10-13,3304.81,3326.67,3303.3,3319.11,247975504
2017-10-16,3323.24,3333.98,3317.74,3323.06,210739904
2017-10-17,3328.6,3342.37,3322.82,3329.03,174396672
2017-10-19,3340.42,3354.27,3324.56,3334.91,277734624
2017-10-20,3343.14,3347.08,3333.23,3340.73,186589696
2017-10-23,3348.66,3360.95,3340.76,3349.8,179056688
2017-10-24,3348.45,3354.73,3333.41,3334.67,177402400
2017-10-25,3328.82,3344.5,3327.18,3343.88,179307504
2017-10-26,3331.68,3356.42,3331.68,3356.25,230616704
2017-10-27,3361.21,3386.44,3360.76,3386.44,283832000
2017-10-30,3385.6,3392.15,3369.22,3375.97,209102832
2017-10-31,3364,3382.12,3364,3374.08,252920896
2017-11-01,3377.19,3395.76,3374.58,3391.61,281312544
2017-11-02,3384.08,3393.93,3358.39,3380.5,163244304
2017-11-03,3382.25,3383.6,3366.93,3382.31,155586160
2017-11-06,3380.36,3384.2,3368.1,3381.85,176331104
2017-11-07,3389.89,3416.73,3389.89,3413.1,223974592
2017-11-08,3409.33,3422.84,3402.35,3421.25,213168096
2017-11-09,3420.26,3429.21,3409.11,3423.91,276300800
2017-11-10,3409.57,3431.07,3403.99,3420.1,249590704
2017-11-13,3414.92,3428.66,3413.67,3419.13,209566704
2017-11-14,3422.04,3422.46,3393.66,3399.09,325454624
2017-11-15,3390.96,3396.08,3366.61,3368.7,225214496
2017-11-16,3368.95,3376.12,3341.3,3341.3,250445200
2017-11-17,3365.7,3385.33,3363.48,3382.38,224605104
2017-11-20,3382.58,3390.97,3374.9,3386.59,180692896
2017-11-21,3394.16,3429.79,3392.87,3423.38,230284464
2017-11-22,3433.73,3442.78,3430.02,3430.02,196183296
2017-11-23,3439.04,3440.58,3417.26,3423.17,150708336
2017-11-24,3430.08,3445.03,3421.86,3442.15,146834592
2017-11-27,3442.89,3445.62,3431.33,3436.36,144655104
2017-11-28,3435.71,3443.64,3427.55,3442.35,225168256
2017-11-29,3447.8,3449.32,3431.61,3438.99,173924304
2017-11-30,3429.07,3441.19,3419.74,3433.54,514638272
2017-12-01,3441.85,3462.78,3440.26,3449.54,226661088
2017-12-04,3449.48,3454.12,3434.19,3438.47,141113696
2017-12-05,3435.89,3455.97,3431.13,3438.06,215394304
2017-12-06,3426.59,3429.41,3387.73,3397.21,234018944
2017-12-07,3401.58,3409.62,3377.96,3388.14,213260896
2017-12-08,3394.39,3431.64,3394.39,3424.64,201955792
2017-12-11,3430.2,3463.02,3428.24,3460.45,177035904
2017-12-12,3459.65,3465.54,3447.49,3465.54,153289952
2017-12-13,3459.93,3469.07,3451,3468.77,195083280
2017-12-14,3469.28,3469.36,3428.38,3435.78,155900864
2017-12-15,3416.29,3424.54,3412.23,3416.94,238029856
2017-12-18,3422.9,3427.65,3404.12,3414.82,159946752
2017-12-19,3422.01,3426.23,3404.47,3404.47,181652608
2017-12-20,3403.7,3406.75,3389.01,3394.87,186616000
2017-12-21,3389.18,3395.63,3381.45,3382.53,152734496
2017-12-22,3390.3,3397.07,3380.64,3385.71,163387904
2017-12-26,3383.98,3386.06,3370.22,3378.16,101669104
2017-12-27,3383.38,3396.78,3380.92,3391.67,95626704
